08 May 2007 10:41:10 AM

NINT_EXACTNESS
  C++ version

  Investigate the polynomial exactness of a quadrature
  rule by integrating all monomials of a given degree
  over the [0,1] hypercube.

  The rule will be adjusted to the [0,1] hypercube.

NINT_EXACTNESS: User input:
  Quadrature rule X file = "ncc_d3_o125_x.txt".
  Quadrature rule W file = "ncc_d3_o125_w.txt".
  Quadrature rule R file = "ncc_d3_o125_r.txt".
  Maximum total degree to check = 7

  Spatial dimension = 3
  Number of points  = 125

      Error    Degree  Exponents

   8.88178e-16      0   0 0 0

   2.22045e-16      1   1 0 0
   2.22045e-16      1   0 1 0
   1.11022e-16      1   0 0 1

   6.66134e-16      2   2 0 0
   1.11022e-16      2   1 1 0
   6.66134e-16      2   0 2 0
   2.22045e-16      2   1 0 1
   2.22045e-16      2   0 1 1
   6.66134e-16      2   0 0 2

   6.66134e-16      3   3 0 0
   2.22045e-16      3   2 1 0
   6.66134e-16      3   1 2 0
   4.44089e-16      3   0 3 0
   3.33067e-16      3   2 0 1
   1.11022e-16      3   1 1 1
   2.22045e-16      3   0 2 1
   5.55112e-16      3   1 0 2
   2.22045e-16      3   0 1 2
             0      3   0 0 3

   4.44089e-16      4   4 0 0
   4.44089e-16      4   3 1 0
   4.44089e-16      4   2 2 0
             0      4   1 3 0
   2.22045e-16      4   0 4 0
   2.22045e-16      4   3 0 1
   4.44089e-16      4   2 1 1
             0      4   1 2 1
   1.11022e-16      4   0 3 1
   4.44089e-16      4   2 0 2
             0      4   1 1 2
   4.44089e-16      4   0 2 2
   2.22045e-16      4   1 0 3
   2.22045e-16      4   0 1 3
   1.11022e-16      4   0 0 4

   6.66134e-16      5   5 0 0
   4.44089e-16      5   4 1 0
   2.22045e-16      5   3 2 0
   2.22045e-16      5   2 3 0
             0      5   1 4 0
   4.44089e-16      5   0 5 0
   2.22045e-16      5   4 0 1
   1.11022e-16      5   3 1 1
   4.44089e-16      5   2 2 1
   2.22045e-16      5   1 3 1
   1.11022e-16      5   0 4 1
   4.44089e-16      5   3 0 2
   2.22045e-16      5   2 1 2
   2.22045e-16      5   1 2 2
   2.22045e-16      5   0 3 2
   2.22045e-16      5   2 0 3
             0      5   1 1 3
             0      5   0 2 3
   2.22045e-16      5   1 0 4
   2.22045e-16      5   0 1 4
   2.22045e-16      5   0 0 5

    0.00260417      6   6 0 0
   4.44089e-16      6   5 1 0
   2.22045e-16      6   4 2 0
   1.11022e-16      6   3 3 0
   2.22045e-16      6   2 4 0
   2.22045e-16      6   1 5 0
    0.00260417      6   0 6 0
   4.44089e-16      6   5 0 1
   4.44089e-16      6   4 1 1
   2.22045e-16      6   3 2 1
             0      6   2 3 1
   1.11022e-16      6   1 4 1
             0      6   0 5 1
   4.44089e-16      6   4 0 2
   2.22045e-16      6   3 1 2
   4.44089e-16      6   2 2 2
             0      6   1 3 2
   2.22045e-16      6   0 4 2
             0      6   3 0 3
             0      6   2 1 3
   2.22045e-16      6   1 2 3
             0      6   0 3 3
   2.22045e-16      6   2 0 4
   1.11022e-16      6   1 1 4
             0      6   0 2 4
   2.22045e-16      6   1 0 5
   2.22045e-16      6   0 1 5
    0.00260417      6   0 0 6

     0.0104167      7   7 0 0
    0.00260417      7   6 1 0
   2.22045e-16      7   5 2 0
             0      7   4 3 0
   5.55112e-16      7   3 4 0
             0      7   2 5 0
    0.00260417      7   1 6 0
     0.0104167      7   0 7 0
    0.00260417      7   6 0 1
             0      7   5 1 1
   2.22045e-16      7   4 2 1
   2.22045e-16      7   3 3 1
             0      7   2 4 1
             0      7   1 5 1
    0.00260417      7   0 6 1
   2.22045e-16      7   5 0 2
   2.22045e-16      7   4 1 2
             0      7   3 2 2
   2.22045e-16      7   2 3 2
   2.22045e-16      7   1 4 2
             0      7   0 5 2
             0      7   4 0 3
   2.22045e-16      7   3 1 3
   2.22045e-16      7   2 2 3
   2.22045e-16      7   1 3 3
             0      7   0 4 3
   5.55112e-16      7   3 0 4
   4.44089e-16      7   2 1 4
   2.22045e-16      7   1 2 4
             0      7   0 3 4
             0      7   2 0 5
   2.22045e-16      7   1 1 5
   2.22045e-16      7   0 2 5
    0.00260417      7   1 0 6
    0.00260417      7   0 1 6
     0.0104167      7   0 0 7


'NINT_EXACTNESS:
  Normal end of execution.

08 May 2007 10:41:11 AM
