08 May 2007 10:40:08 AM

NINT_EXACTNESS
  C++ version

  Investigate the polynomial exactness of a quadrature
  rule by integrating all monomials of a given degree
  over the [0,1] hypercube.

  The rule will be adjusted to the [0,1] hypercube.

NINT_EXACTNESS: User input:
  Quadrature rule X file = "cc_d3_o027_x.txt".
  Quadrature rule W file = "cc_d3_o027_w.txt".
  Quadrature rule R file = "cc_d3_o027_r.txt".
  Maximum total degree to check = 5

  Spatial dimension = 3
  Number of points  = 27

      Error    Degree  Exponents

   5.55112e-16      0   0 0 0

   5.55112e-16      1   1 0 0
   5.55112e-16      1   0 1 0
   5.55112e-16      1   0 0 1

   5.55112e-16      2   2 0 0
   7.77156e-16      2   1 1 0
   3.33067e-16      2   0 2 0
   6.66134e-16      2   1 0 1
   6.66134e-16      2   0 1 1
   5.55112e-16      2   0 0 2

   4.44089e-16      3   3 0 0
   6.66134e-16      3   2 1 0
   6.66134e-16      3   1 2 0
   4.44089e-16      3   0 3 0
   5.55112e-16      3   2 0 1
   5.55112e-16      3   1 1 1
   6.66134e-16      3   0 2 1
   5.55112e-16      3   1 0 2
   6.66134e-16      3   0 1 2
   4.44089e-16      3   0 0 3

     0.0416667      4   4 0 0
   5.55112e-16      4   3 1 0
   6.66134e-16      4   2 2 0
   5.55112e-16      4   1 3 0
     0.0416667      4   0 4 0
   4.44089e-16      4   3 0 1
   5.55112e-16      4   2 1 1
   5.55112e-16      4   1 2 1
   5.55112e-16      4   0 3 1
   5.55112e-16      4   2 0 2
   5.55112e-16      4   1 1 2
   6.66134e-16      4   0 2 2
   5.55112e-16      4   1 0 3
   5.55112e-16      4   0 1 3
     0.0416667      4   0 0 4

         0.125      5   5 0 0
     0.0416667      5   4 1 0
   5.55112e-16      5   3 2 0
   5.55112e-16      5   2 3 0
     0.0416667      5   1 4 0
         0.125      5   0 5 0
     0.0416667      5   4 0 1
   3.33067e-16      5   3 1 1
   3.33067e-16      5   2 2 1
   4.44089e-16      5   1 3 1
     0.0416667      5   0 4 1
   5.55112e-16      5   3 0 2
   3.33067e-16      5   2 1 2
   2.22045e-16      5   1 2 2
   6.66134e-16      5   0 3 2
   5.55112e-16      5   2 0 3
   3.33067e-16      5   1 1 3
   6.66134e-16      5   0 2 3
     0.0416667      5   1 0 4
     0.0416667      5   0 1 4
         0.125      5   0 0 5


'NINT_EXACTNESS:
  Normal end of execution.

08 May 2007 10:40:08 AM
